#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
51.724954	8.586402
51.761646	8.539257
51.798546	8.488497
51.835678	8.435164
51.873044	8.379368
51.910678	8.319015
51.948574	8.259959
51.986770	8.193179
52.025268	8.128312
52.064074	8.061981
52.103200	7.997537
52.142640	7.933715
52.182386	7.874060
52.222430	7.816463
52.262760	7.762769
52.303368	7.709808
52.344240	7.661674
52.385372	7.615244
52.426768	7.564634
52.468444	7.511459
52.510416	7.459026
52.552696	7.403829
52.595300	7.344631
52.638264	7.281644
52.681602	7.217075
52.725346	7.148757
52.769512	7.077572
52.814142	7.003417
52.859244	6.928659
52.904838	6.852490
52.950932	6.778855
52.997526	6.706213
53.044622	6.635672
53.092206	6.568522
53.140272	6.503794
53.188816	6.440065
53.237824	6.379127
53.287308	6.320349
53.337270	6.257156
53.387742	6.192039
53.438752	6.126829
53.490326	6.057834
53.542506	5.985126
53.595342	5.908581
53.648878	5.829423
53.703178	5.745415
53.758274	5.658488
53.814272	5.566449
53.871198	5.472777
53.929108	5.378334
53.988048	5.283540
54.048046	5.189799
54.109126	5.098498
54.171298	5.008917
54.234580	4.920887
54.299002	4.833963
54.364572	4.748765
54.431338	4.664439
54.499356	4.575846
54.568722	4.484402
54.639540	4.390765
54.711932	4.292262
54.786064	4.187339
54.862136	4.076814
54.940360	3.960457
55.021012	3.836170
55.104382	3.705670
55.190884	3.566182
55.280924	3.419830
55.374992	3.267659
55.473694	3.108457
55.577792	2.938869
55.688242	2.762665
55.806220	2.577950
55.933316	2.383642
56.071648	2.179149
56.224316	1.962539
56.396302	1.726852
56.597288	1.456302
56.852850	1.115021
57.454882	0.463015
