#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.716	505	28.742	481
28.768	504	28.793	480
28.818	498	28.843	479
28.869	491	28.895	479
28.919	480	28.945	479
28.970	467	28.996	481
29.020	459	29.046	479
29.072	437	29.097	475
29.122	423	29.147	477
29.173	407	29.199	483
29.223	392	29.249	480
29.274	381	29.300	473
29.325	371	29.350	478
29.376	365	29.401	476
29.426	362	29.452	480
29.477	360	29.503	479
29.527	365	29.553	479
29.579	377	29.604	480
29.629	383	29.654	478
29.680	400	29.706	479
29.730	410	29.756	479
29.781	427	29.807	480
29.831	443	29.857	476
29.883	458	29.908	481
29.933	473	29.958	476
29.984	484	30.010	477
30.034	495	30.060	484
30.085	500	30.111	479
30.136	505	30.161	479
30.187	503	30.212	479
30.237	498	30.263	479
30.288	492	30.314	479
30.338	484	30.364	479
30.390	466	30.415	478
30.440	451	30.465	479
30.491	437	30.517	478
30.541	421	30.567	478
30.592	407	30.618	481
30.643	392	30.668	482
30.694	382	30.719	485
30.744	373	30.769	478
30.795	365	30.821	479
30.845	362	30.871	479
30.896	366	30.922	478
30.947	369	30.972	479
30.998	376	31.023	479
31.048	390	31.074	479
31.099	397	31.125	481
31.149	413	31.175	482
31.201	428	31.226	479
31.251	443	31.276	483
31.302	459	31.328	477
31.352	472	31.378	475
31.403	483	31.429	481
31.454	490	31.479	481
31.505	499	31.530	479
31.555	504	31.580	479
31.606	498	31.632	479
31.656	498	31.682	479
31.707	487	31.733	479
31.758	477	31.783	479
31.809	467	31.834	477
31.860	452	31.885	477
31.910	437	31.936	480
31.961	422	31.986	482
32.012	407	32.037	481
32.063	394	32.087	480
32.113	385	32.139	477
32.164	374	32.189	479
32.214	365	32.240	479
32.266	368	32.290	480
32.316	367	32.341	479
32.367	370	32.391	479
32.417	381	32.443	479
32.468	388	32.493	478
32.518	400	32.544	481
32.570	415	32.594	478
32.620	429	32.645	480
32.671	444	32.696	475
32.721	458	32.747	480
32.772	471	32.797	480
32.823	481	32.848	479
32.874	488	32.898	479
32.924	498	32.950	480
32.975	500	33.000	479
33.025	500	33.051	479
33.077	497	33.101	479
33.127	488	33.152	483
33.178	478	33.203	479
33.228	464	33.254	478
33.279	452	33.304	481
33.329	436	33.355	482
33.381	422	33.405	476
33.431	407	33.456	476
33.482	394	33.507	478
33.532	386	33.558	478
33.583	373	33.608	478
33.634	368	33.659	479
33.685	366	33.709	478
33.735	371	33.761	478
33.786	374	33.811	480
33.836	380	33.862	477
33.888	391	33.912	479
33.938	401	33.963	479
33.989	415	34.014	478
34.039	429	34.065	477
34.090	445	34.115	480
34.140	459	34.166	480
34.192	469	34.216	480
34.242	481	34.267	479
34.293	494	34.318	480
34.343	497	34.369	478
34.394	495	34.419	478
34.445	495	34.470	478
34.496	490	34.520	477
34.546	483	34.572	481
34.597	473	34.622	477
34.647	462	34.673	482
34.699	449	34.723	479
34.749	436	34.774	479
34.800	422	34.825	480
34.850	409	34.876	481
34.901	398	34.927	480
34.951	390	34.977	482
35.003	380	35.028	482
35.053	373	35.078	480
35.104	373	35.130	481
35.154	370	35.180	479
35.205	377	35.231	480
35.256	383	35.281	477
35.307	392	35.332	485
35.357	403	35.383	478
35.408	416	35.434	479
35.458	430	35.484	478
35.510	446	35.535	478
35.560	456	35.585	478
35.611	470	35.637	479
35.661	479	35.687	480
35.712	484	35.738	479
35.763	491	35.788	480
35.814	496	35.839	481
35.864	494	35.889	480
35.915	490	35.941	478
35.965	482	35.991	476
36.016	474	36.042	482
36.067	462	36.092	476
36.118	449	36.143	481
36.168	435	36.194	482
36.219	420	36.245	480
36.269	404	36.295	479
36.321	396	36.346	480
36.371	390	36.396	479
36.422	380	36.448	480
36.472	374	36.498	479
36.523	372	36.549	481
36.574	373	36.599	479
36.625	378	36.650	475
36.675	384	36.700	477
36.726	395	36.752	475
36.776	406	36.802	478
36.827	418	36.853	477
36.878	431	36.903	480
36.929	442	36.954	480
36.979	456	37.005	479
37.030	466	37.056	479
37.080	478	37.106	479
37.132	485	37.157	478
37.182	492	37.207	482
37.233	492	37.259	477
37.283	491	37.309	475
37.334	486	37.360	479
37.385	480	37.410	480
37.436	470	37.461	482
37.486	458	37.511	480
37.537	446	37.563	480
37.587	430	37.613	480
37.638	421	37.664	480
37.689	404	37.714	480
37.740	397	37.765	481
37.790	389	37.816	481
37.841	382	37.867	483
37.891	377	37.917	483
37.943	375	37.968	481
37.993	377	38.018	482
38.044	380	38.070	478
38.094	387	38.120	479
38.145	396	38.171	480
38.196	405	38.221	478
38.247	417	38.272	478
38.297	430	38.323	478
38.348	447	38.374	478
38.398	458	38.424	478
38.449	465	38.475	479
38.500	477	38.525	477
38.551	484	38.576	481
38.602	488	38.627	476
38.652	490	38.678	481
38.703	489	38.728	476
38.754	485	38.779	482
38.805	479	38.829	480
38.855	469	38.881	482
38.906	456	38.931	482
38.956	447	38.982	480
39.008	429	39.032	480
39.058	424	39.083	480
39.109	409	39.134	480
39.159	399	39.185	481
39.210	390	39.235	478
39.260	383	39.286	484
39.312	376	39.336	478
39.362	376	39.387	476
39.413	377	39.438	478
39.463	381	39.489	477
39.514	387	39.539	477
39.565	395	39.590	479
39.616	410	39.640	479
39.666	416	39.692	478
39.717	433	39.742	479
39.767	449	39.793	480
39.819	456	39.843	477
39.869	469	39.894	480
39.920	478	39.945	481
39.970	482	39.996	481
40.021	488	40.046	475
40.071	488	40.097	477
40.123	488	40.147	479
40.173	485	40.198	480
40.224	476	40.249	480
40.274	468	40.300	481
40.325	454	40.350	481
40.376	445	40.401	479
40.427	434	40.451	480
40.477	421	40.503	481
40.528	408	40.553	481
40.578	398	40.604	475
40.630	389	40.654	481
40.680	383	40.705	474
40.731	379	40.756	479
40.781	379	40.807	479
40.832	380	40.857	478
40.883	381	40.908	478
40.934	388	40.958	479
40.984	397	41.009	478
41.035	407	41.060	478
41.085	420	41.111	479
41.136	434	41.161	479
41.187	446	41.212	480
41.238	457	41.262	482
41.288	468	41.314	478
41.339	477	41.364	479
41.389	482	41.415	478
41.441	487	41.465	477
41.491	487	41.516	481
41.542	488	41.567	481
41.592	481	41.618	480
41.643	476	41.669	480
41.694	464	41.719	480
41.745	458	41.770	480
41.795	444	41.820	479
41.846	431	41.872	478
41.896	421	41.922	480
41.947	409	41.973	479
41.998	400	42.023	476
42.049	390	42.074	481
42.099	386	42.125	480
42.150	380	42.176	479
42.200	379	42.226	477
42.252	381	42.277	478
42.302	388	42.327	478
42.353	394	42.379	478
42.403	402	42.429	479
42.454	412	42.480	478
42.505	420	42.530	478
42.556	435	42.581	481
42.606	445	42.631	482
42.657	457	42.683	478
42.707	466	42.733	482
42.758	475	42.784	478
42.809	481	42.834	480
42.860	483	42.885	482
42.910	485	42.936	481
42.961	481	42.987	480
43.011	481	43.037	481
43.063	472	43.088	480
43.113	463	43.138	480
43.164	453	43.190	480
43.214	444	43.240	476
43.265	432	43.291	479
43.316	421	43.341	475
43.367	408	43.392	478
43.417	400	43.443	477
43.468	391	43.494	477
43.518	385	43.544	480
43.569	382	43.595	478
43.620	381	43.645	479
43.671	384	43.696	478
43.721	390	43.747	479
43.772	396	43.798	479
43.822	404	43.848	479
43.874	411	43.899	477
43.924	422	43.949	478
43.975	435	44.001	484
44.025	445	44.051	480
44.076	457	44.102	486
44.127	466	44.152	479
44.178	475	44.203	483
44.228	479	44.254	480
44.279	486	44.305	479
44.329	485	44.355	481
44.380	483	44.406	480
44.431	481	44.456	480
44.482	470	44.507	480
44.532	464	44.558	479
44.583	453	44.609	481
44.633	443	44.659	475
44.685	431	44.710	480
44.735	420	44.760	481
44.786	410	44.812	480
44.836	401	44.862	477
44.887	392	44.913	479
44.938	386	44.963	478
44.989	384	45.014	478
45.039	384	45.065	478
45.090	385	45.116	480
45.140	385	45.166	478
45.191	395	45.217	480
45.242	404	45.267	481
45.293	413	45.318	484
45.343	424	45.369	482
45.394	435	45.420	485
45.444	446	45.470	481
45.496	457	45.521	482
45.546	466	45.571	481
45.597	477	45.623	480
45.647	478	45.673	481
45.698	479	45.724	480
45.749	485	45.774	480
45.800	480	45.825	480
45.850	476	45.876	481
45.901	473	45.927	481
45.951	462	45.977	481
46.003	452	46.028	477
46.053	442	46.078	481
46.104	431	46.129	480
46.154	420	46.180	474
46.205	410	46.231	479
46.255	402	46.281	479
46.307	395	46.332	478
46.357	385	46.382	478
46.408	385	46.434	478
46.458	384	46.484	479
46.509	386	46.535	479
46.560	388	46.585	481
46.611	396	46.636	476
46.661	405	46.687	480
46.712	413	46.738	478
46.762	424	46.788	480
46.814	435	46.839	477
46.864	447	46.889	480
46.915	459	46.940	480
46.965	467	46.991	480
47.016	475	47.042	481
47.066	478	47.092	480
47.118	478	47.143	480
47.168	482	47.193	480
47.219	480	47.245	478
47.269	476	47.295	477
47.320	469	47.346	477
47.371	461	47.396	475
47.422	451	47.447	480
47.472	441	47.498	479
47.523	430	47.549	478
47.573	418	47.599	475
47.625	411	47.650	479
47.675	405	47.700	478
47.726	393	47.751	479
47.776	388	47.802	479
47.827	384	47.853	479
47.877	386	47.903	480
47.929	387	47.954	482
47.979	390	48.004	479
48.030	397	48.056	476
48.080	406	48.106	479
48.131	415	48.157	480
48.182	424	48.207	479
48.233	437	48.258	482
48.283	446	48.309	481
48.334	454	48.360	480
48.384	466	48.410	480
48.436	472	48.461	480
48.486	479	48.511	480
48.537	477	48.563	480
48.587	480	48.613	480
48.638	479	48.664	478
48.688	474	48.714	478
48.740	468	48.765	481
48.790	459	48.815	477
48.841	450	48.867	477
48.891	440	48.917	478
48.942	429	48.968	478
48.993	417	49.018	478
49.044	410	49.069	479
49.094	400	49.120	479
49.145	394	49.171	479
49.195	392	49.221	479
49.247	389	49.272	478
49.297	388	49.322	479
49.348	388	49.374	477
49.398	394	49.424	481
49.449	400	49.475	479
49.499	407	49.525	479
49.551	417	49.576	480
49.601	425	49.626	481
49.652	438	49.678	479
49.702	446	49.728	481
49.753	453	49.779	480
49.804	463	49.829	479
49.855	470	49.880	479
49.905	475	49.931	480
49.956	477	49.982	478
50.006	479	50.032	480
50.058	476	50.083	481
50.108	472	50.133	476
50.159	467	50.185	478
50.209	459	50.235	475
50.260	449	50.286	478
50.310	439	50.336	479
50.362	429	50.387	479
50.412	420	50.437	478
50.463	413	50.489	478
50.513	407	50.539	478
50.564	395	50.590	479
50.616	389	50.640	479
50.666	389	50.691	481
50.717	388	50.742	479
50.767	390	50.793	480
50.818	393	50.843	477
50.869	400	50.894	484
50.920	407	50.944	479
50.970	416	50.996	480
51.021	427	51.046	480
51.071	438	51.097	481
51.123	444	51.147	480
51.173	459	51.198	479
51.224	461	51.248	479
51.274	470	51.300	479
51.325	475	51.350	477
51.375	477	51.401	480
51.427	478	51.451	475
51.477	475	51.502	477
51.528	471	51.553	482
51.578	464	51.604	480
51.629	458	51.654	476
51.680	449	51.705	479
51.731	439	51.755	479
51.781	430	51.807	480
51.832	422	51.857	479
51.882	410	51.908	479
51.934	400	51.958	480
51.984	398	52.009	478
52.035	392	52.059	479
52.085	390	52.111	480
52.136	389	52.161	482
52.186	391	52.212	478
52.238	396	52.262	480
52.288	403	52.313	482
52.339	410	52.364	478
52.389	421	52.415	480
52.440	426	52.465	478
52.491	438	52.516	478
52.542	446	52.566	479
52.592	454	52.618	479
52.643	464	52.668	481
52.693	469	52.719	480
52.745	473	52.769	482
