#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 17:34:53 2016
#Time A	Pos A		Pos B
#[s]	[au]		[au]
25.319	275	25.345	422
25.370	272	25.395	430
25.420	281	25.446	444
25.472	293	25.496	463
25.522	312	25.547	493
25.573	338	25.597	526
25.623	367	25.649	565
25.674	396	25.699	605
25.724	430	25.750	643
25.776	458	25.800	681
25.826	487	25.851	714
25.877	513	25.902	744
25.927	532	25.953	761
25.978	545	26.003	772
26.029	552	26.054	774
26.080	553	26.104	770
